year,county_code,district_code,school_code,county_name,district_name,school_name,district_type,school_type,edu_option_type,nslp_provision_status,charter_school,charter_school_number,charter_funding_type,IRC,low_grade,high_grade,enrollment_K12,free_meal_count_K12,perc_eligible_free_K12,FRPM_count_K12,perc_eligible_FRPM_K12,enrollment_age_5_17,free_meal_count_age_5_17,perc_eligible_free_5_17,FRPM_count_5_17,perc_eligible_FRPM_5_17,CALPADS
2017-2018,36,67678,6105712,San Bernardino,Chino Valley Unified,Robert O. Townsend Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,1133,316,27.90%,387,34.20%,1133,316,27.90%,387,34.20%,Y
2017-2018,36,67678,6106611,San Bernardino,Chino Valley Unified,Gerald F. Litel Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,557,165,29.60%,202,36.30%,556,165,29.70%,202,36.30%,Y
2017-2018,36,67678,6106629,San Bernardino,Chino Valley Unified,Eagle Canyon Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,619,199,32.10%,220,35.50%,617,199,32.30%,220,35.70%,Y
2017-2018,36,67678,6107270,San Bernardino,Chino Valley Unified,Oak Ridge Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,664,175,26.40%,195,29.40%,664,175,26.40%,195,29.40%,Y
2017-2018,36,67678,6107288,San Bernardino,Chino Valley Unified,Howard Cattle Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,725,303,41.80%,348,48.00%,713,299,41.90%,344,48.20%,Y
2017-2018,36,67678,6108195,San Bernardino,Chino Valley Unified,Rolling Ridge Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,561,130,23.20%,154,27.50%,561,130,23.20%,154,27.50%,Y
2017-2018,36,67678,6108666,San Bernardino,Chino Valley Unified,Butterfield Ranch Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,724,170,23.50%,206,28.50%,723,170,23.50%,206,28.50%,Y
2017-2018,36,67678,6109813,San Bernardino,Chino Valley Unified,Canyon Hills Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,1174,264,22.50%,318,27.10%,1174,264,22.50%,318,27.10%,Y
2017-2018,36,67678,6111215,San Bernardino,Chino Valley Unified,Woodcrest Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,378,227,60.10%,276,73.00%,378,227,60.10%,276,73.00%,Y
2017-2018,36,67678,6111710,San Bernardino,Chino Valley Unified,Country Springs Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,610,115,18.90%,126,20.70%,610,115,18.90%,126,20.70%,Y
2017-2018,36,67678,6112833,San Bernardino,Chino Valley Unified,Hidden Trails Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,486,111,22.80%,130,26.70%,486,111,22.80%,130,26.70%,Y
2017-2018,36,67686,0,San Bernardino,Colton Joint Unified,District Office,Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P,Adult,50,30,60.00%,30,60.00%,45,29,64.40%,29,64.40%,Y
2017-2018,36,67686,1,San Bernardino,Colton Joint Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14,5,35.70%,5,35.70%,13,5,38.50%,5,38.50%,Y
2017-2018,36,67686,125500,San Bernardino,Colton Joint Unified,Grand Terrace High School at the Ray Abril Jr. Educational Complex,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2114,1267,59.90%,1473,69.70%,2048,1223,59.70%,1425,69.60%,Y
2017-2018,36,67686,3630399,San Bernardino,Colton Joint Unified,Washington High,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,K,12,89,60,67.40%,71,79.80%,65,46,70.80%,55,84.60%,Y
2017-2018,36,67686,3631322,San Bernardino,Colton Joint Unified,Bloomington High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2322,1681,72.40%,1916,82.50%,2286,1654,72.40%,1887,82.50%,Y
2017-2018,36,67686,3632742,San Bernardino,Colton Joint Unified,Colton High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1956,1467,75.00%,1639,83.80%,1864,1398,75.00%,1560,83.70%,Y
2017-2018,36,67686,3636131,San Bernardino,Colton Joint Unified,Slover Mountain High (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,218,161,73.90%,182,83.50%,181,132,72.90%,148,81.80%,Y
2017-2018,36,67686,6035604,San Bernardino,Colton Joint Unified,Crestmore Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,797,661,82.90%,733,92.00%,783,652,83.30%,720,92.00%,Y
2017-2018,36,67686,6035612,San Bernardino,Colton Joint Unified,Gerald A. Smith Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,716,606,84.60%,665,92.90%,700,591,84.40%,649,92.70%,Y
2017-2018,36,67686,6035620,San Bernardino,Colton Joint Unified,Grand Terrace Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,689,455,66.00%,524,76.10%,680,451,66.30%,520,76.50%,Y
2017-2018,36,67686,6035638,San Bernardino,Colton Joint Unified,Ulysses Grant Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,675,559,82.80%,602,89.20%,658,548,83.30%,587,89.20%,Y
2017-2018,36,67686,6035646,San Bernardino,Colton Joint Unified,Abraham Lincoln Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,674,597,88.60%,636,94.40%,665,588,88.40%,627,94.30%,Y
2017-2018,36,67686,6035653,San Bernardino,Colton Joint Unified,Mary B. Lewis Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,694,609,87.80%,661,95.20%,682,598,87.70%,650,95.30%,Y
2017-2018,36,67686,6035661,San Bernardino,Colton Joint Unified,William McKinley Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,652,557,85.40%,602,92.30%,639,547,85.60%,592,92.60%,Y
2017-2018,36,67686,6035679,San Bernardino,Colton Joint Unified,Paul Rogers Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,725,599,82.60%,657,90.60%,725,599,82.60%,657,90.60%,Y
2017-2018,36,67686,6035687,San Bernardino,Colton Joint Unified,Ruth Grimes Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,628,504,80.30%,548,87.30%,628,504,80.30%,548,87.30%,Y
2017-2018,36,67686,6035703,San Bernardino,Colton Joint Unified,Terrace Hills Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,985,623,63.20%,728,73.90%,985,623,63.20%,728,73.90%,Y
2017-2018,36,67686,6035711,San Bernardino,Colton Joint Unified,Terrace View Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,830,368,44.30%,448,54.00%,816,359,44.00%,439,53.80%,Y
2017-2018,36,67686,6035729,San Bernardino,Colton Joint Unified,Walter Zimmerman Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,685,603,88.00%,646,94.30%,670,589,87.90%,631,94.20%,Y
2017-2018,36,67686,6035745,San Bernardino,Colton Joint Unified,Woodrow Wilson Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,618,524,84.80%,579,93.70%,610,516,84.60%,571,93.60%,Y
2017-2018,36,67686,6059380,San Bernardino,Colton Joint Unified,Joe Baca,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,867,706,81.40%,792,91.30%,867,706,81.40%,792,91.30%,Y
2017-2018,36,67686,6061857,San Bernardino,Colton Joint Unified,Colton Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,1034,857,82.90%,937,90.60%,1034,857,82.90%,937,90.60%,Y
2017-2018,36,67686,6101034,San Bernardino,Colton Joint Unified,Alice Birney Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,697,628,90.10%,668,95.80%,687,620,90.20%,658,95.80%,Y
2017-2018,36,67686,6107452,San Bernardino,Colton Joint Unified,Reche Canyon Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,561,407,72.50%,442,78.80%,555,403,72.60%,438,78.90%,Y
2017-2018,36,67686,6108831,San Bernardino,Colton Joint Unified,Jurupa Vista Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,523,313,59.80%,393,75.10%,513,306,59.60%,385,75.00%,Y
2017-2018,36,67686,6110142,San Bernardino,Colton Joint Unified,Cooley Ranch Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,606,430,71.00%,476,78.50%,597,425,71.20%,471,78.90%,Y
2017-2018,36,67686,6111108,San Bernardino,Colton Joint Unified,Ruth O. Harris Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,757,522,69.00%,617,81.50%,757,522,69.00%,617,81.50%,Y
2017-2018,36,67686,6113633,San Bernardino,Colton Joint Unified,Michael D'Arcy Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,513,341,66.50%,402,78.40%,504,338,67.10%,398,79.00%,Y
2017-2018,36,67686,6120422,San Bernardino,Colton Joint Unified,Sycamore Hills Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,872,544,62.40%,643,73.70%,872,544,62.40%,643,73.70%,Y
2017-2018,36,67694,6035752,San Bernardino,Cucamonga Elementary,Cucamonga Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,537,370,68.90%,426,79.30%,527,364,69.10%,419,79.50%,Y
2017-2018,36,67694,6035760,San Bernardino,Cucamonga Elementary,Los Amigos Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,526,382,72.60%,428,81.40%,515,372,72.20%,418,81.20%,Y
2017-2018,36,67694,6097646,San Bernardino,Cucamonga Elementary,Rancho Cucamonga Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,762,475,62.30%,556,73.00%,762,475,62.30%,556,73.00%,Y
2017-2018,36,67694,6109185,San Bernardino,Cucamonga Elementary,Ontario Center,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,633,345,54.50%,421,66.50%,614,336,54.70%,410,66.80%,Y
2017-2018,36,67702,1,San Bernardino,Etiwanda Elementary,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,2,22.20%,2,22.20%,9,2,22.20%,2,22.20%,Y
2017-2018,36,67702,102939,San Bernardino,Etiwanda Elementary,Etiwanda Colony Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,627,142,22.60%,165,26.30%,615,139,22.60%,161,26.20%,Y
2017-2018,36,67702,102947,San Bernardino,Etiwanda Elementary,Day Creek Intermediate,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,1310,321,24.50%,379,28.90%,1310,321,24.50%,379,28.90%,Y
2017-2018,36,67702,113688,San Bernardino,Etiwanda Elementary,Perdew Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,795,354,44.50%,395,49.70%,778,344,44.20%,385,49.50%,Y
2017-2018,36,67702,117382,San Bernardino,Etiwanda Elementary,Etiwanda Community Day,Elementary School District,District Community Day Schools,Community Day School,N/A,No ,N/A,N/A,N,6,8,5,1,20.00%,2,40.00%,5,1,20.00%,2,40.00%,Y
2017-2018,36,67702,135293,San Bernardino,Etiwanda Elementary,Falcon Ridge Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,451,165,36.60%,195,43.20%,440,161,36.60%,191,43.40%,Y
2017-2018,36,67702,6035778,San Bernardino,Etiwanda Elementary,Etiwanda Intermediate,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,1439,524,36.40%,616,42.80%,1439,524,36.40%,616,42.80%,Y
2017-2018,36,67702,6035786,San Bernardino,Etiwanda Elementary,Summit Intermediate,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,1085,306,28.20%,389,35.90%,1085,306,28.20%,389,35.90%,Y
2017-2018,36,67702,6106595,San Bernardino,Etiwanda Elementary,Windrows Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,591,204,34.50%,228,38.60%,571,196,34.30%,220,38.50%,Y
2017-2018,36,67702,6107569,San Bernardino,Etiwanda Elementary,Caryn Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,586,141,24.10%,164,28.00%,576,139,24.10%,162,28.10%,Y
2017-2018,36,67702,6108005,San Bernardino,Etiwanda Elementary,West Heritage Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,681,369,54.20%,412,60.50%,670,365,54.50%,407,60.70%,Y
2017-2018,36,67702,6112114,San Bernardino,Etiwanda Elementary,Carleton P. Lightfoot Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,566,214,37.80%,225,39.80%,554,210,37.90%,221,39.90%,Y
2017-2018,36,67702,6112122,San Bernardino,Etiwanda Elementary,Terra Vista Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,869,292,33.60%,326,37.50%,850,288,33.90%,321,37.80%,Y
2017-2018,36,67702,6112130,San Bernardino,Etiwanda Elementary,East Heritage Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,576,265,46.00%,305,53.00%,568,263,46.30%,302,53.20%,Y
2017-2018,36,67702,6116263,San Bernardino,Etiwanda Elementary,David W. Long Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,838,203,24.20%,246,29.40%,826,199,24.10%,241,29.20%,Y
2017-2018,36,67702,6117519,San Bernardino,Etiwanda Elementary,Cecilia Lucero Solorio Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,874,361,41.30%,419,47.90%,862,355,41.20%,413,47.90%,Y
2017-2018,36,67702,6118467,San Bernardino,Etiwanda Elementary,John L. Golden Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,895,202,22.60%,223,24.90%,878,194,22.10%,215,24.50%,Y
2017-2018,36,67702,6119622,San Bernardino,Etiwanda Elementary,Grapeland Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,638,221,34.60%,241,37.80%,631,221,35.00%,241,38.20%,Y
2017-2018,36,67702,6119630,San Bernardino,Etiwanda Elementary,Heritage Intermediate,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,1276,563,44.10%,683,53.50%,1276,563,44.10%,683,53.50%,Y
2017-2018,36,67710,1,San Bernardino,Fontana Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,41,13,31.70%,13,31.70%,36,13,36.10%,13,36.10%,Y
2017-2018,36,67710,100347,San Bernardino,Fontana Unified,Almond Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,6,524,420,80.20%,461,88.00%,507,410,80.90%,451,89.00%,Y
2017-2018,36,67710,102509,San Bernardino,Fontana Unified,Wayne Ruble Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,6,8,1272,843,66.30%,1016,79.90%,1272,843,66.30%,1016,79.90%,Y
2017-2018,36,67710,102517,San Bernardino,Fontana Unified,Dorothy Grant Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,5,673,369,54.80%,452,67.20%,673,369,54.80%,452,67.20%,Y
2017-2018,36,67710,108191,San Bernardino,Fontana Unified,Summit High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2408,1304,54.20%,1637,68.00%,2355,1268,53.80%,1594,67.70%,Y
2017-2018,36,67710,113423,San Bernardino,Fontana Unified,Kathy Binks Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,5,608,400,65.80%,465,76.50%,608,400,65.80%,465,76.50%,Y
2017-2018,36,67710,113944,San Bernardino,Fontana Unified,Beech Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,6,775,652,84.10%,707,91.20%,775,652,84.10%,707,91.20%,Y
2017-2018,36,67710,120758,San Bernardino,Fontana Unified,Jurupa Hills High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2035,1388,68.20%,1695,83.30%,1973,1344,68.10%,1644,83.30%,Y
2017-2018,36,67710,133371,San Bernardino,Fontana Unified,Dolores Huerta International Academy,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,5,438,297,67.80%,354,80.80%,438,297,67.80%,354,80.80%,Y
2017-2018,36,67710,3630019,San Bernardino,Fontana Unified,Eric Birch High (Continuation),Unified School District,Continuation High Schools,Continuation School,Provision 2,No ,N/A,N/A,N,10,12,241,193,80.10%,220,91.30%,204,167,81.90%,187,91.70%,Y
2017-2018,36,67710,3630480,San Bernardino,Fontana Unified,Citrus High (Continuation),Unified School District,Continuation High Schools,Continuation School,Provision 2,No ,N/A,N/A,N,10,12,307,245,79.80%,278,90.60%,222,185,83.30%,203,91.40%,Y
2017-2018,36,67710,3630555,San Bernardino,Fontana Unified,Fontana A. B. Miller High,Unified School District,High Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,9,12,2229,1591,71.40%,1900,85.20%,2139,1522,71.20%,1823,85.20%,Y
2017-2018,36,67710,3630902,San Bernardino,Fontana Unified,Henry J. Kaiser High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2132,1368,64.20%,1738,81.50%,2052,1320,64.30%,1684,82.10%,Y
2017-2018,36,67710,3633302,San Bernardino,Fontana Unified,Fontana High,Unified School District,High Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,9,12,2475,2005,81.00%,2288,92.40%,2381,1926,80.90%,2203,92.50%,Y
2017-2018,36,67710,6035794,San Bernardino,Fontana Unified,Juniper Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,5,529,432,81.70%,469,88.70%,529,432,81.70%,469,88.70%,Y
2017-2018,36,67710,6035810,San Bernardino,Fontana Unified,Live Oak Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,6,559,431,77.10%,466,83.40%,542,421,77.70%,454,83.80%,Y
2017-2018,36,67710,6035828,San Bernardino,Fontana Unified,Maple Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,5,594,431,72.60%,452,76.10%,578,422,73.00%,443,76.60%,Y
2017-2018,36,67710,6035836,San Bernardino,Fontana Unified,North Tamarind Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,6,504,435,86.30%,468,92.90%,504,435,86.30%,468,92.90%,Y
2017-2018,36,67710,6035844,San Bernardino,Fontana Unified,Oleander Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,5,830,735,88.60%,769,92.70%,811,719,88.70%,753,92.80%,Y
2017-2018,36,67710,6035851,San Bernardino,Fontana Unified,Palmetto Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,5,812,652,80.30%,721,88.80%,812,652,80.30%,721,88.80%,Y
2017-2018,36,67710,6035869,San Bernardino,Fontana Unified,Poplar Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,6,613,482,78.60%,525,85.60%,597,470,78.70%,513,85.90%,Y
2017-2018,36,67710,6035877,San Bernardino,Fontana Unified,Randall Pepper Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,5,600,496,82.70%,528,88.00%,599,495,82.60%,527,88.00%,Y
2017-2018,36,67710,6035885,San Bernardino,Fontana Unified,Redwood Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,6,512,403,78.70%,452,88.30%,512,403,78.70%,452,88.30%,Y
2017-2018,36,67710,6035893,San Bernardino,Fontana Unified,Virginia Primrose Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,5,445,342,76.90%,364,81.80%,445,342,76.90%,364,81.80%,Y
2017-2018,36,67710,6035901,San Bernardino,Fontana Unified,South Tamarind Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,5,698,570,81.70%,620,88.80%,689,565,82.00%,615,89.30%,Y
2017-2018,36,67710,6035919,San Bernardino,Fontana Unified,West Randall Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,6,459,337,73.40%,371,80.80%,444,327,73.60%,361,81.30%,Y
2017-2018,36,67710,6059398,San Bernardino,Fontana Unified,Alder Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,6,8,1182,915,77.40%,1055,89.30%,1182,915,77.40%,1055,89.30%,Y
2017-2018,36,67710,6059406,San Bernardino,Fontana Unified,Fontana Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,6,8,1229,1039,84.50%,1142,92.90%,1229,1039,84.50%,1142,92.90%,Y
2017-2018,36,67710,6061865,San Bernardino,Fontana Unified,Sequoia Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,7,8,1154,930,80.60%,1069,92.60%,1154,930,80.60%,1069,92.60%,Y
2017-2018,36,67710,6068761,San Bernardino,Fontana Unified,Cypress Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,5,684,552,80.70%,596,87.10%,684,552,80.70%,596,87.10%,Y
2017-2018,36,67710,6102933,San Bernardino,Fontana Unified,Tokay Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,5,530,392,74.00%,436,82.30%,513,385,75.00%,429,83.60%,Y
2017-2018,36,67710,6106470,San Bernardino,Fontana Unified,Locust Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,6,446,340,76.20%,385,86.30%,446,340,76.20%,385,86.30%,Y
2017-2018,36,67710,6106504,San Bernardino,Fontana Unified,Southridge Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,6,8,1051,706,67.20%,914,87.00%,1051,706,67.20%,914,87.00%,Y
2017-2018,36,67710,6106702,San Bernardino,Fontana Unified,Chaparral Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,5,330,238,72.10%,266,80.60%,318,232,73.00%,260,81.80%,Y
2017-2018,36,67710,6108054,San Bernardino,Fontana Unified,Almeria Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,6,8,826,560,67.80%,698,84.50%,826,560,67.80%,698,84.50%,Y
2017-2018,36,67710,6108062,San Bernardino,Fontana Unified,Oak Park Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,5,474,324,68.40%,406,85.70%,458,316,69.00%,395,86.20%,Y
2017-2018,36,67710,6108070,San Bernardino,Fontana Unified,Shadow Hills Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,5,400,280,70.00%,335,83.80%,400,280,70.00%,335,83.80%,Y
2017-2018,36,67710,6110670,San Bernardino,Fontana Unified,Canyon Crest Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,5,498,354,71.10%,425,85.30%,498,354,71.10%,425,85.30%,Y
2017-2018,36,67710,6110688,San Bernardino,Fontana Unified,Mango Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,5,552,423,76.60%,470,85.10%,552,423,76.60%,470,85.10%,Y
2017-2018,36,67710,6111173,San Bernardino,Fontana Unified,Hemlock Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,5,416,242,58.20%,293,70.40%,400,237,59.30%,285,71.30%,Y
2017-2018,36,67710,6113351,San Bernardino,Fontana Unified,Harry S. Truman Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,6,8,1205,973,80.70%,1098,91.10%,1205,973,80.70%,1098,91.10%,Y
2017-2018,36,67710,6114052,San Bernardino,Fontana Unified,Date Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,5,693,613,88.50%,638,92.10%,680,601,88.40%,625,91.90%,Y
2017-2018,36,67710,6115984,San Bernardino,Fontana Unified,Citrus Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,6,783,621,79.30%,689,88.00%,783,621,79.30%,689,88.00%,Y
2017-2018,36,67710,6119986,San Bernardino,Fontana Unified,Sierra Lakes Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,5,671,311,46.30%,378,56.30%,671,311,46.30%,378,56.30%,Y
2017-2018,36,67710,6120042,San Bernardino,Fontana Unified,Ted Porter Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,5,739,528,71.40%,568,76.90%,727,521,71.70%,559,76.90%,Y
2017-2018,36,67736,116723,San Bernardino,Helendale Elementary,Academy of Careers and Exploration,Elementary School District,High Schools (Public),Traditional,N/A,Yes,968,Locally funded,N,7,12,321,163,50.80%,182,56.70%,317,161,50.80%,180,56.80%,Y
2017-2018,36,67736,128439,San Bernardino,Helendale Elementary,Empire Springs Charter,Elementary School District,K-12 Schools (Public),Traditional,N/A,Yes,1592,Directly funded,Y,K,12,1082,341,31.50%,467,43.20%,1065,336,31.50%,458,43.00%,Y
2017-2018,36,67736,130948,San Bernardino,Helendale Elementary,Independence Charter Academy,Elementary School District,K-12 Schools (Public),Traditional,N/A,Yes,1679,Locally funded,N,K,12,177,100,56.50%,117,66.10%,170,98,57.60%,114,67.10%,Y
2017-2018,36,67736,131151,San Bernardino,Helendale Elementary,Alta Vista South Public Charter,Elementary School District,K-12 Schools (Public),Traditional,N/A,Yes,1691,Directly funded,Y,K,12,746,612,82.00%,657,88.10%,537,444,82.70%,475,88.50%,Y
